Názov knižnice;Typ knižnice;Stav knižnice (F/N/S/Z);Adresa;;;Okres;Kraj;Štatutárny zástupca;Telefón knihovníka/metodika;Web;E-mail inštitúcie
Obecná knižnica Trnava pri Laborci;obecná NZ;Fungujúca;Trnava pri Laborci 163;072 31;Trnava pri Laborci;Michalovce;Košický;Ing. Ignác Štefanič;566492856;;ocu@trnavapri laborci.sk
Obecná knižnica Falkušovce;obecná NZ;Fungujúca;Hlavná 179;072 05;Falkušovce;Michalovce;Košický;Michal Bodnár;566496101;;ocufalkusovce@centrum.sk
Obecná knižnica Žipov;obecná NZ;Stagnujúca;Žipov 85;082 41;Žipov;Prešov;Prešovský;František Dzuriček;517783113;;obec.zipov@stonline.sk
Obecná knižnica Zeleneč;obecná NZ;Fungujúca;Školská 224/5;919 21;Zeleneč;Trnava;Trnavský;;315541031;;obec@zelenec.sk
Obecná knižnica Vrbov;obecná NZ;Fungujúca;Vrbov 181;059 72;Vrbov;Kežmarok;Prešovský;;524592125;;obecvrbov@stonline.sk
Obecná knižnica Udavské;obecná NZ;Fungujúca;Udavské 30;067 31;Udavské;Humenné;Prešovský;;907123649;;obec@udavske.sk
Obecná knižnica Úbrež;obecná NZ;Stagnujúca;Úbrež;072 42;Úbrež;Sobrance;Košický;;566596252;;obecubrez@minet.sk
Obecná knižnica Turecká;obecná NZ;Zrušená;Turecká 341;976 02;Turecká;Banská Bystrica;Banskobystrický;;484199270;;info@obecturecka.sk
Obecná knižnica Turcovce;obecná NZ;Fungujúca;Turcovce 35;067 23;Turcovce;Humenné;Prešovský;;577880392;;outurcovce@gmail.com
Obecná knižnica Trhovište;obecná NZ;Fungujúca;Trhovište 121;072 04;Trhovište;Michalovce;Košický;;566495223;;obectrhoviste@stonline.sk
Obecná knižnica Šiatorská Bukovinka;obecná NZ;Fungujúca;Šiatorská Bukovinka 41;985 58;Šiatorská Bukovinka;Lučenec;Banskobystrický;;474491154;;ocusiat.buk@gmail.com
Obecná knižnica Suché Brezovo;obecná NZ;Zrušená;Suché Brezovo 66;991 03;Suché Brezovo;Veľký Krtíš;Banskobystrický;;474898609;;brezovo@procomp.sk
Obecná knižnica Staškov;obecná NZ;Fungujúca;J. Kronera 90;023 53;Staškov;Čadca;Žilinský;;414302729;;obecstaskov@stonline.sk
Obecná knižnica Somotor;obecná NZ;Fungujúca;Obchodná 39/7;076 35;Somotor;Trebišov;Košický;;566396110;;obecsomotor@gmail.com
Obecná knižnica Skalité;obecná NZ;Fungujúca;Skalité 623;023 14;Skalité;Čadca;Žilinský;;918390156;;obec@skalite.sk
Knižnica Kamenný Janko Vyšná Pokoradz;obecná NZ;Fungujúca;Vyšná Pokoradz 17;979 01;Vyšná Pokoradz;Rimavská Sobota;Banskobystrický;;475624216;;ema.vraniakova@rimavskasobota.sk
Obecná knižnica Ratkovce;obecná NZ;Fungujúca;Ratkovce 97;920 42;Ratkovce;Hlohovec;Trnavský;;917999038;;ouratkovce@ratkovce.sk
Obecná knižnica Pušovce;obecná NZ;Stagnujúca;Pušovce 14;082 14;Pušovce;Prešov;Prešovský;;517997710;;ocupusovce@pobox.sk
Miestna ľudová knižnica Plavecký Peter;obecná NZ;Fungujúca;Plavecký Peter 137;906 35;Plavecký Peter;Senica;Trnavský;;346539125;;starosta@plaveckypeter.sk
Obecná knižnica Pinciná;obecná NZ;Fungujúca;Pinciná 12;984 01;Pinciná;Lučenec;Banskobystrický;;474394187;;oupincina@stonline.sk
Obecná knižnica Pata;obecná NZ;Fungujúca;Lazovná 926/5;925 53;Pata;Galanta;Trnavský;;317860122;;starosta@obecpata.sk
Obecná knižnica Oľšov;obecná NZ;Fungujúca;Oľšov 13;082 76;Oľšov;Sabinov;Prešovský;;908985139;;obecolsov@profinet-system.sk
Obecná knižnica Olešná;obecná NZ;Fungujúca;Olešná 618;023 52;Olešná;Čadca;Žilinský;;414346123;;urad@obecolesna.sk
Obecná knižnica Nová Bystrica;obecná NZ;Fungujúca;Nová Bystrica 657;023 05;Nová Bystrica;Čadca;Žilinský;;908946434;;kniznica.N.B.@centrum.sk
Obecná knižnica Moravský Svätý Ján;obecná NZ;Stagnujúca;Moravský Svätý Ján 803;908 71;Moravský Svätý Ján;Senica;Trnavský;;347770121;;obecmsjan@obecmsjan.sk
Miestna ľudová knižnica Lubina;obecná NZ;Fungujúca;Osvetový dom Dr. M. Hodžu 971;916 12;Lubina;Nové Mesto nad Váhom;Trenčiansky;;911692768;;mos.miskechdedinka@gmail.com
Miestna ľudová knižnica Lemešany;obecná NZ;Stagnujúca;Lemešany 186;082 03;Lemešany;Prešov;Prešovský;;517931241;;obec@lemesany.sk
Obecná knižnica Kavečany;obecná NZ;Fungujúca;Široká 17/A;040 01;Košice - Kavečany;Košice I;Košický;;556334100;;sekretariat.kavecany@kosice.sk
Obecná knižnica Kostoľany pod Tribečom;obecná NZ;Zrušená;Kostoľany pod Tribečom 70;951 77;Kostoľany pod Tribečom;Zlaté Moravce;Nitriansky;;376317201;;kostolanypodtribecom@mail.t-com.sk
Obecná knižnica Klokočov;obecná NZ;Fungujúca;Klokočov 65;072 36;Klokočov;Michalovce;Košický;;566492112;;obec@klokocovmi.sk
Obecná knižnica Kalinovo;obecná NZ;Fungujúca;SNP 140/1;985 01;Kalinovo;Poltár;Banskobystrický;;;;obec@kalinovo.sk
Obecná knižnica Jablonové;obecná NZ;Zrušená;Jablonové 197;900 54;Jablonové;Malacky;Bratislavský;;336412315;;starosta@obecjablonove.sk
Obecná knižnica Hertník;obecná NZ;Fungujúca;Hertník 162;086 42;Hertník;Bardejov;Prešovský;;544791128;;obechertnik@centrum.sk
Obecná knižnica Drienovec;obecná NZ;Fungujúca;Drienovec 366;044 01;Drienovec;Košice - okolie;Košický;;554899355;;obecdrienovec@kid.sk
Miestna ľudová knižnica Dojč;obecná NZ;Fungujúca;Dojč 125;906 02;Dojč;Senica;Trnavský;;911277937;;oudojc@stonline.sk
Obecná knižnica Daletice;obecná NZ;Zrušená;Daletice 35;082 63;Daletice;Sabinov;Prešovský;;948028608;;obec.daletice@gmail.com
Miestna ľudová knižnica Ďačov;obecná NZ;Zrušená;Ďačov 106;082 71;Ďačov;Sabinov;Prešovský;;908988312;;obecdacov@gmail.com
Obecná knižnica Čičarovce;obecná NZ;Fungujúca;Čičarovce 90;076 71;Čičarovce;Michalovce;Košický;;566383170;;cicarovce@atknet.sk
Obecná knižnica Chminianska Nová Ves;obecná NZ;Fungujúca;Chminianska Nová Ves 32;082 33;Chminianska Nová Ves;Prešov;Prešovský;;911912920;;obecchmin.n.ves@stonline.sk
Miestna knižnica Lamač;obecná NZ;Fungujúca;Malokarpatské námestie 1;841 03;Bratislava - Lamač;Bratislava IV;Bratislavský;;264789737;;starosta@lamac.sk
Miestna ľudová knižnica Bojničky;obecná NZ;Zrušená;Bojničky;920 55;Bojničky;Hlohovec;Trnavský;;337320234;;starosta@bojnicky.sk
Obecná knižnica Bobrov;obecná NZ;Stagnujúca;Vyšný Koniec 173;029 42;Bobrov;Námestovo;Žilinský;;911808522;;starosta@obecbobrov.sk
Obecná knižnica Blatné Remety;obecná NZ;Fungujúca;Blatné Remety;072 44;Blatné Remety;Sobrance;Košický;;915537659;;bremety@gmail.com
Obecná knižnica Balog nad Ipľom;obecná NZ;Fungujúca;Hlavná 75;911 11;Balog nad Ipľom;Veľký Krtíš;Banskobystrický;;474885117;;balog.obec@azet.sk
Lekárska knižnica Fakultnej nemocnice v Nitre;lekárska;Fungujúca;Špitálska 6;950 01;Nitra;Nitra;Nitriansky;MUDr. Jozef Valocký;376545485;;kniznica@fnnitra.sk
Lekárska knižnica Liptovskej nemocnice s poliklinikou MUDr. Ivana Stodolu;lekárska;Fungujúca;Palúčanská 25;031 23;Liptovský Mikuláš;Liptovský Mikuláš;Žilinský;Ing. Ľudmila Pohančeníková;445563577;;riaditelstvo@nsplm.sk
Knižnica Regionálneho úradu verejného zdravotníctva so sídlom v Trnave;lekárska;Fungujúca;Limbová 6;917 09;Trnava;Trnava;Trnavský;MUDr. Ľubica Kollárová;335354672;;eko@ruvztt.sk
Lekárska knižnica Nemocnice s poliklinikou - Považská Bystrica;lekárska;Fungujúca;Nemocničná 986;017 26;Považská Bystrica;Považská Bystrica;Trenčiansky;Ing. Peter Rendek;424304166;;sekretariat@nemocnicapb.sk
Lekárska knižnica Univerzitnej nemocnice Bratislava - Nemocnica sv. Cyrila a Metoda;lekárska;Fungujúca;Antolská 11;851 07;Bratislava - Petržalka;Bratislava V;Bratislavský;MUDr. Miroslav Bdžoch, PhD., MPH;268672056;;kniznica@pe.unb.sk
Lekárska knižnica KÚPELE LÚČKY, a. s.;lekárska;Fungujúca;Lúčky 530;034 82;Lúčky;Ružomberok;Žilinský;Ing. Anastázia Mičková;444375639;;kupele-lucky@kupele-lucky.sk
Lekárska knižnica Nemocnice s poliklinikou Brezno, n. o.;lekárska;Fungujúca;Banisko 1;977 01;Brezno;Brezno;Banskobystrický;MUDr. Peter Mečiar;482820335;;vzdelavanie@nspbr.sk
Lekárska knižnica Fakultnej nemocnice s poliklinikou J. A. Reimana;lekárska;Fungujúca;Hollého 14;081 81;Prešov;Prešov;Prešovský;MUDr. Radoslav Čuha, MBA, MPH;517011812;;riaditel@fnsppresov.sk
Lekárska knižnica Regionálneho ústavu verejného zdravotníctva Galanta;lekárska;Fungujúca;Hodská 2352/62;924 81;Galanta;Galanta;Trnavský;Dr. Ján Stratinský;317833294;;ga.pz@uvzsr.sk
Lekárska knižnica Nemocnice Krompachy spol. s r. o.;lekárska;Stagnujúca;Banícka štvrť 1;053 42;Krompachy;Spišská Nová Ves;Košický;MUDr. M. Kraus, Mgr. M. Jaška;534186274;;sekretariat@nemkrompachy.sk
Lekárska knižnica Národného endokrinologického a diabetologického ústavu;lekárska;Fungujúca;Kollárova 282/3;034 91;Ľubochňa;Ružomberok;Žilinský;JUDr. Igor Kolval;444306206;;nedu@nedu.sk
Lekárska knižnica Regionálneho úradu verejného zdravotníctva so sídlom v Košiciach;lekárska;Stagnujúca;Ipeľská 1;040 11;Košice - Západ;Košice II;Košický;MUDr. Jana Kollárová;908836738;;sekretariat@ruvzke.sk
Lekárska knižnica Fakultnej nemocnice s poliklinikou Žilina;lekárska;Fungujúca;V. Spanyola 43;010 01;Žilina;Žilina;Žilinský;MUDr. Štefan Volák;415110249;;sekretariat.r@fnspza.sk
Lekárska knižnica Nemocnice arm. gen. L. Svobodu Svidník, a. s.;lekárska;Fungujúca;MUDr. Pribulu 412/4;089 01;Svidník;Svidník;Prešovský;Ing. Peter Petruš;547860200;;sekretariat.sk@svetzdravia.com
Lekárska knižnica Nemocnice s poliklinikou Š. Kukuru, a. s.;lekárska;Fungujúca;Špitálska 2;071 01;Michalovce;Michalovce;Košický;Ing. Zita Ženišová;566416295;;sekretariat.mi@svetzdravia.com
Lekárska knižnica Nemocnice s poliklinikou Prievidza so sídlom v Bojniciach;lekárska;Fungujúca;Nemocničná 2;972 01;Bojnice;Prievidza;Trenčiansky;MUDr. Ján Belanský;465112461;;kniznica@hospital-bojnice.sk
Lekárska knižnica Nemocnice s poliklinikou - Topolčany;lekárska;Fungujúca;Pavlovová 17;955 20;Topoľčany;Topoľčany;Nitriansky;Ing. Marta Eckhardtová, MPH;385351279;;nsp@nsptopolcany.sk
Lekárska knižnica Univerzitnej nemocnice v Martine;lekárska;Stagnujúca;Kollárova 2;036 01;Martin;Martin;Žilinský;Doc. MUDr. Julián Hamžík, PhD.;434203201;;info@unm.sk
Lekárska knižnica Univerzitnej nemocnice Bratislava - Nemocnica Staré Mesto;lekárska;Fungujúca;Mickiewiczova 13;813 69;Bratislava - Staré Mesto;Bratislava I;Bratislavský;MUDr. Miroslav Bdžoch, PhD., MPH;252922228;;sekretariat@unb.sk
Lekárska knižnica Špecializovanej nemocnice sv. Svorada Zobor, n. o.;lekárska;Fungujúca;Kláštorská 134;949 88;Nitra;Nitra;Nitriansky;Ing. Erika Chudá;376941217;;sekretariat@snzobor.sk
Lekárska knižnica FNsP F. D. Roosevelta;lekárska;Fungujúca;Nám. L. Svobodu 1;975 17;Banská Bystrica;Banská Bystrica;Banskobystrický;MUDr. Vladimír Baláž, PhD.;484413444;;eva.dedicova@nspbb.sk
Lekárska knižnica Fakultnej nemocnice s poliklinikou Skalica, a. s.;lekárska;Fungujúca;Koreszkova 7;909 82;Skalica;Skalica;Trnavský;Ing. Renáta Kormanová;346969271;;vzdelavanie@nspskalica.sk
Lekárska knižnica FNsP Nové Zámky;lekárska;Fungujúca;Slovenská 11;940 34;Nové Zámky;Nové Zámky;Nitriansky;MUDr. Imrich Matuška;356912268;;pnem@nspnz.sk
Nemocnica s polikliniku Ilava, n. o.;lekárska;Fungujúca;Štúrova 3;019 01;Ilava;Ilava;Trenčiansky;Ing. Juraj Beďatš;424667311;;sekretariat@nspilava.sk
Lekárska knižnica Psychiatrickej nemocnice Philippa Pinela;lekárska;Fungujúca;Malacká 63;902 18;Pezinok;Pezinok;Bratislavský;MUDr. Pavel Černák, PhD.;910517853;;info@pnpp.sk
Knižnica Regionálneho úradu verejného zdravotníctva so sídlom v Žiari nad Hronom;lekárska;Fungujúca;Cyrila a Metoda 357/23;965 01;Žiar nad Hronom;Žiar nad Hronom;Banskobystrický;MUDr. Eva Striežová;456782062;;ruvzzh@ruvzzh.sk
Lekárska knižnica Národného ústavu reumatických chorôb;lekárska;Fungujúca;Nábr. I. Krasku 4;921 12;Piešťany;Piešťany;Trnavský;Prof. Jozef Rovenský, DrSc.;337969200;;nurch@nurch.sk
Lekárska knižnica Ľubovnianskej nemocnice, n. o.  ;lekárska;Fungujúca;Obrancov mieru 3;064 01;Stará Ľubovňa;Stará Ľubovňa;Prešovský;MUDr. Peter Bizovský, MPH;524317312;;nspsl@nspsl.sk
Lekárska knižnica Univerzitnej nemocnice Bratislava - Podunajské Biskupice;lekárska;Fungujúca;Krajinská 91;825 56;Bratislava - Podunajské Biskupice;Bratislava II;Bratislavský;MUDr. Miroslav Bdžoch, PhD., MPH;918379727;;info@unb.sk
Lekárska knižnica Psychiatrickej nemocnice Hronovce;lekárska;Stagnujúca;Dr. J. Zelenyáka 71;935 61;Hronovce;Levice;Nitriansky;MUDr. Marek Zelman;367577201;;pnh@pnh.sk
Knižnica Kúpeľov Trenčianske Teplice, a. s.;lekárska;Stagnujúca;T. G. Masaryka 21;914 51;Trenčianske Teplice;Trenčín;Trenčiansky;Ing. Andrea Puskailer;905482385;;sekretariat@slktn.sk
Lekárska knižnica Univerzitnej nemocnice L. Pasteura Košice;lekárska;Fungujúca;Rastislavova 43;041 90;Košice - Juh;Košice  IV;Košický;MUDr. Ladislav Rosocha;556153176;;unlp@unlp.sk
Lekárska knižnica Špecializovaného liečebného ústavu Marína;lekárska;Fungujúca;Sládkovičova 311/3;962 37;Kováčová;Zvolen;Banskobystrický;Ing. Oľga Zábojníková, MPH;455208297;;sekretariat@marinakovacova.sk
Odborná knižnica Psychiatrickej nemocnice profesora Matulaya Kremnica;lekárska;Stagnujúca;Československej armády 234/139;967 01;Kremnica;Žiar nad Hronom;Banskobystrický;MUDr. Tibor Ďurian;456742316;;pnkca@stonline.sk
Lekárska knižnica Nemocnice s poliklinikou sv. Jakuba, n. o.;lekárska;Fungujúca;Sv. Jakuba 21;085 01;Bardejov;Bardejov;Prešovský;MUDr. Marián Petko, MPH;544788616;;sekretariatriaditela@nsp-bardejov.sk
Lekárska knižnica Hornooravskej NsP Trstená;lekárska;Fungujúca;Mieru 549/16;028 01;Trstená;Tvrdošín;Žilinský;Ing. Eleonóra Kadlečíková;435307373;;nsp@nsptrstena.sk
Knižnica Úradu verejného zdravotníctva SR;lekárska;Fungujúca;Trnavská cesta 52;826 45;Bratislava - Ružinov;Bratislava II;Bratislavský;Prof. MUDr. Ivan Rovný, PhD., MPH;249284207;;uvzsr@uvzsr.sk
Lekárska knižnica Nemocnice s poliklinikou, a. s.;lekárska;Stagnujúca;SNP 1079/76;075 01;Trebišov;Trebišov;Košický;MUDr. Vladimír Dvorový, MPH;566660311;;sekretariat.tv@svetzdravia.com
Lekárska knižnica Regionálneho úradu verejného zdravotníctva so sídlom v Rimavskej Sobote;lekárska;Fungujúca;Sama Tomášika 14;979 01;Rimavská Sobota;Rimavská Sobota;Banskobystrický;MUDr. Dušan Béreš, MPH;905273944;;ruvzrs@uvzsr.sk
Lekárska knižnica - Vranovská nemocnica, a. s.;lekárska;Stagnujúca;M. R. Štefánika 187/177 B;093 27;Vranov nad Topľou;Vranov nad Topľou;Prešovský;MUDr. Eugen Lešo;905407110;;sekretariat.vt@svetzdravia.com
Lekárska knižnica Šrobárov ústav DTaRCH, n. o.;lekárska;Fungujúca;Dolný Smokovec 70;059 81;Vysoké Tatry;Poprad;Prešovský;Ing. Miroslava Kolcúnová, MPH;524412166;;klinika@sudtarch.sk
Knižnica pri Regionálnom úrade verejného zdravotníctva v Prešove;lekárska;Stagnujúca;Hollého 5;080 01;Prešov;Prešov;Prešovský;Ing. Jana Mýtniková;517580325;;po.sekretariat@uvzsr.sk
Lekárska knižnica Psychiatrickej liečebne S. Bluma;lekárska;Fungujúca;Gemerská 233;049 11;Plešivec;Rožňava;Košický;MUDr. Pavol Džodla, MBA;587877963;;riaditel@pl-plesivec.sk
Odborná lekárska knižnica - Nemocnica s poliklinikou Spišská Nová Ves, a. s.;lekárska;Fungujúca;Jánskeho 1;052 01;Spišská Nová Ves;Spišská Nová Ves;Košický;MUDr. Renáta Šuláková;534199129;;sekretariat.sn@svetzdravia.com
Lekárska knižnica Psychiatrickej nemocnice - Veľké Zálužie;lekárska;Fungujúca;Rínok 344;951 35;Veľké Zálužie;Nitra;Nitriansky;RNDr. Beatrix Nováková;376548613;;admin@pnvz.sk
Lekárska knižnica Všeobecnej nemocnice s poliklinikou, n. o.;lekárska;Stagnujúca;Námesstie republiky 15;984 01;Lučenec;Lučenec;Banskobystrický;MUDr. Július Hoffer;474311397;;vs@nsplc.sk
Lekárska knižnica NÚSCH, a. s.;lekárska;Fungujúca;Pod Krásnou Hôrkou 1;833 48;Bratislava - Nové Mesto;Bratislava III;Bratislavský;Ing. Mongi Msolly;259320564;;info@nusch.sk
Lekárska knižnica Onkologického ústavu sv. Alžbety;lekárska;Fungujúca;Heydukova 10;812 50;Bratislava - Staré Mesto;Bratislava I;Bratislavský;RNDr. Pavol Švec, CSc.;232248410;;ousa@ousa.sk
Lekárska knižnica Nemocnice Alexandra Wintera, n. o.;lekárska;Stagnujúca;Winterova 66;921 63;Piešťany;Piešťany;Trnavský;JUDr. Mária Domčeková;337955300;;sekretariat@naw.sk
Lekárska knižnica - Svet zdravia, a. s. , Všeobecná nemocnica v Žiari nad Hronom;lekárska;Fungujúca;Sládkovičova 11;965 01;Žiar nad Hronom;Žiar nad Hronom;Banskobystrický;Ing. Ivan Mokrý;456709103;;sekretariat@nemocnicazh.sk
Lekárska knižnica Štátneho ústavu pre kontrolu liečiv;lekárska;Stagnujúca;Kvetná 11;825 08;Bratislava - Ružinov;Bratislava II;Bratislavský;PharmDr. Ján Mazag;250701245;;sukl@sukl.sk
Knižnica Regionálneho úradu verejného zdravotníctva - Svidník;lekárska;Stagnujúca;Sovietskych hrdinov 79;089 01;Svidník;Svidník;Prešovský;Mgr. Helena Hrebeňáková;547880012;;sk.sekretariat@uvzsr.sk
Knižnica Regionálneho úradu verejného zdravotníctva Humenné;lekárska;Zrušená;26. novembra 1507/2;066 18;Humenné;Humenné;Prešovský;Ing. Miroslav Veliký;577752794;;hn.sekretariat@uvzsr.sk
Lekárska knižnica Nemocnice s poliklinikou sv. Lukáša - Galanta, a. s.;lekárska;Fungujúca;Hodská 373/38;924 22;Galanta;Galanta;Trnavský;MUDr. Iveta Šuleková;317833566;;nspga@nemocnica-galanta.sk
Lekárska knižnica Nemocnice Hnúšťa, n. o.;lekárska;Stagnujúca;Jesenského 102;981 01;Hnúšťa;Rimavská Sobota;Banskobystrický;Alexander Agócs;475511560;;nsphnusta@gmail.com
Lekárska knižnica - Forlife, n. o.;lekárska;Stagnujúca;Mederčská 39;945 75;Komárno;Komárno;Nitriansky;Mgr. Viktor Dudáš;357909673;;baloghova.katarina@forlife.sk
Lekárska knižnica - Nemocnica Zvolen, a. s.;lekárska;Stagnujúca;Kuzmányho nábrežie 28;960 01;Zvolen;Zvolen;Banskobystrický;MUDr. Jozef Botka;455201720;;info@nemzvolen.sk
Lekárska knižnica - Hospitale, s. r. o.;lekárska;Stagnujúca;Hontianska cesta 49;936 01;Šahy;Levice;Nitriansky;MUDr. Peter Šomló;367565684;;sahy@sahy.sk
Lekárska knižnica pri NsP, n. o. Revúca;lekárska;Stagnujúca;Litovelská 25;050 01;Revúca;Revúca;Banskobystrický;Ing. Daniela Pršebicová;584833311;;sekretariat@nsprevuca.sk
Lekárska knižnica - Prírodné liečebné kúpele, a. s.;lekárska;Stagnujúca;Smrdáky;906 03;Smrdáky;Senica;Trnavský;Ing. Marcel Moravčík;346959680;;fojtinovai@spasmrdaky.sk
Lekárska knižnica Nemocnice s poliklinikou Myjava;lekárska;Fungujúca;Staromyjavská 59;907 01;Myjava;Myjava;Trenčiansky;MUDr. Jozef Markovič;346979352;;sekretariat@nspmyjava.sk
Lekárska knižnica Nemocnice s poliklinikou sv. Barbory Rožňava, a. s.;lekárska;Stagnujúca;Špitálska 1;048 01;Rožňava;Rožňava;Košický;MUDr. Dušan Suchý;904346939;;sekretariat.rv@svetzdravia.com
Lekárska knižnica Kúpeľov Vyšné Ružbachy, a. s.;lekárska;Fungujúca;Vyšné Ružbachy 48;065 02;Vyšné Ružbachy;Stará Ľubovňa;Prešovský;Ing. Ružena Begalová;524266530;;info@ruzbachy.sk
Odborná lekárska knižnica Ústrednej vojenskej nemocnice, Ružomberok;lekárska;Fungujúca;gen. M. Vesela 21;034 26;Ružomberok;Ružomberok;Žilinský;MUDr. Jozef Ježík;444382639;;sarayovaj@uvn.sk
Lekárska knižnica Kúpeľov Bojnice, a. s.;lekárska;Stagnujúca;Bojnice;972 01;Bojnice;Prievidza;Trenčiansky;Ing. Slavomír Eliáš;465116444;;info@kupele-bojnice.sk
Lekárska knižnica Všeobecnej nemocnice Rimavská Sobota;lekárska;Stagnujúca;Šrobárova 1;979 01;Rimavská Sobota;Rimavská Sobota;Banskobystrický;Ing. Darina Hoghová;475612336;;lucia.zvarova@svetzdravia.com
Lekárska knižnica - Slovenské liečebné kúpele, a. s.;lekárska;Zrušená;SNP 519;039 12;Turčianske Teplice;Turčianske Teplice;Žilinský;Ing. Zuzana Ďurinová;915993269;;kultura@therme.sk
Lekárska knižnica Národného onkologického ústavu;lekárska;Fungujúca;Klenová 1;833 10;Bratislava - Nové Mesto;Bratislava III;Bratislavský;MUDr. Jozef Dolinský;259378622;;kniznica@nou.sk
Lekárska knižnica Regionálneho úradu verejného zdravotníctva so sídlom v Banskej Bystrici;lekárska;Fungujúca;Cesta k nemocnici 1;974 01;Banská Bystrica;Banská Bystrica;Banskobystrický;Doc. MUDr. Cyril Klement, CSc.;484367784;;nuvzbb@vzbb.sk
Lekárska knižnica Univerzitnej Nemocnice v Bratislave - Ružinov;lekárska;Fungujúca;Pažítková 4;821 01;Bratislava - Ružinov;Bratislava II;Bratislavský;MUDr. Miroslav Bdžoch, PhD., MPH;248234970;;kniznica@ru.unb.sk
Lekárska knižnica - Psychiatrická nemocnica Michalovce;lekárska;Fungujúca;Areál Psychiatrickej nemocnice Michalovce;071 01;Michalovce;Michalovce;Košický;;566818300;;sekretariat@pnmi.sk
Lekárska knižnica národného rehabilitačného centra;lekárska;Fungujúca;Sládkovičova 1;962 37;Kováčová;Zvolen;Banskobystrický;;455205273;;nrckovacova@nrckovacova.sk
Lekárska knižnica Národného ústavu tuberkolózy, pľúcnych chorôb a hrudníkovej chirurgie;lekárska;Fungujúca;Vysoké Tatry - Vyšné Hágy;059 84;Vysoké Tatry;Poprad;Prešovský;;524414364;;hagy@hagy.sk
